Country Name,Country Code,"2020 [YR2020] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2020 [YR2020] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2021 [YR2021] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2021 [YR2021] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2022 [YR2022] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2022 [YR2022] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2023 [YR2023] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2023 [YR2023] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2024 [YR2024] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2024 [YR2024] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
Bangladesh,BGD,71.421,2.27063942,71.103,2.36551309,74.265,2.39038587,74.672,..,..,..
Barbados,BRB,76.647,7.27405739,76.58,7.93866014,75.676,6.29389191,76.178,..,..,..
Belarus,BLR,72.1385609756098,6.40607214,72.0714634146342,6.56549978,74.1033658536585,6.65919876,74.1837804878049,..,..,..
Belgium,BEL,80.6951219512195,11.26481915,81.790243902439,11.04724503,81.7487804878049,10.76192474,82.3975609756098,..,..,..
Belize,BLZ,71.58,5.35447645,70.917,5.05842113,72.19,4.23173904,73.566,..,..,..
Benin,BEN,60.154,2.7123611,59.61,2.58129549,60.475,2.67981386,60.774,..,..,..
Bermuda,BMU,81.456,..,81.745,..,82.062,..,82.309,..,..,..
Bhutan,BTN,72.253,4.08451509,72.448,3.0729053,72.754,4.38545895,72.975,..,..,..
Bolivia,BOL,62.906,8.0225811,61.427,8.159729,67.434,8.43142891,68.581,..,..,..
Bosnia and Herzegovina,BIH,76.04,9.70311832,74.567,9.55514336,76.777,8.71644783,77.85,..,..,..
Botswana,BWA,67.643,6.1213398,63.303,6.30754805,68.749,5.72838593,69.163,..,..,..
Brazil,BRA,74.506,9.62326527,73.038,9.63646507,74.872,9.14277458,75.848,..,..,..
British Virgin Islands,VGB,76.894,..,75.297,..,77.177,..,77.276,..,..,..
Brunei Darussalam,BRN,75.114,2.45178461,74.869,2.14642429,72.917,1.81768215,75.327,..,..,..
Bulgaria,BGR,73.3560975609756,8.48235893,71.2121951219512,8.61892796,74.1609756097561,7.66357517,75.7073170731707,..,..,..
Burkina Faso,BFA,60.454,6.57714844,60.046,6.40747881,60.7,6.77182007,61.092,..,..,..
Burundi,BDI,62.569,10.71837234,62.101,8.99484253,62.882,8.39522648,63.651,..,..,..
Cabo Verde,CPV,73.818,6.63319778,74.424,7.316607,75.907,6.67440224,76.059,..,..,..
Cambodia,KHM,70.059,5.28458023,69.301,5.51976061,70.528,4.71089554,70.668,..,..,..
Cameroon,CMR,61.674,4.25051928,61.146,4.30539274,62.443,4.47835922,63.7,..,..,..
Canada,CAN,81.5351219512195,13.02419472,81.5168292682927,12.41920948,81.2453658536585,11.23432541,81.6465853658537,11.22370815,..,..
Cayman Islands,CYM,79.23,..,79.3,..,79.984,..,80.358,..,..,..
Central African Republic,CAF,50.596,8.98555374,40.279,9.15270615,18.818,9.95509052,57.408,..,..,..
Chad,TCD,53.082,4.4533143,53.136,4.17851543,54.528,4.52549791,55.069,..,..,..
Channel Islands,CHI,80.9,..,80.3,..,81,..,81.1,..,..,..
